onset	duration	correct	correct_response	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	response_time	worker_id
3.526	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.707	s586
6.134	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.615	s586
8.742863999999999	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.466	s586
11.350727999999998	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.408	s586
13.958592000000001	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.627	s586
16.57	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.46	s586
19.181864	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.467	s586
21.789864	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.513	s586
24.399	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.51	s586
27.004592	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.5	s586
29.614455999999997	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.579	s586
32.228864	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.487	s586
34.841864	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.474	s586
37.453	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.635	s586
40.061	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.506	s586
42.668864	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.559	s586
45.277	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.566	s586
47.889864	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.529	s586
50.504	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.497	s586
53.115592	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.619	s586
55.725	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.603	s586
58.334184	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.711	s586
60.94332	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.472	s586
63.552	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.553	s586
66.167864	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.521	s586
68.775864	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.677	s586
71.389864	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.55	s586
74.0	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.741	s586
76.606864	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.657	s586
79.21704799999999	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.639	s586
81.832864	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.614	s586
84.44059200000001	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.635	s586
87.04704799999999	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.631	s586
89.657864	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.693	s586
92.268728	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.634	s586
94.87872800000001	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.546	s586
97.487	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.525	s586
100.095	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.577	s586
102.70272800000001	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.745	s586
105.311	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.581	s586
107.92	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.542	s586
110.527728	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.683	s586
113.139	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.578	s586
115.748864	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.603	s586
118.356728	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.506	s586
120.969	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.521	s586
123.579	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.739	s586
126.189	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.609	s586
128.801	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.481	s586
131.408	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.552	s586
134.02	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.565	s586
136.628728	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.524	s586
139.240864	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.665	s586
141.84991200000002	1.7	0.0	71.0	double	attention_network_task	down	right	incongruent	89	0.509	s586
144.459728	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.571	s586
147.069864	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.441	s586
149.680864	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.501	s586
152.289	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.467	s586
154.897	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.616	s586
157.508	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.595	s586
160.122	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.719	s586
162.734864	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.803	s586
165.347728	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.73	s586
167.958864	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.67	s586
181.082864	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.821	s586
183.696	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	1.109	s586
186.307	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.597	s586
188.917592	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.655	s586
191.529456	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.559	s586
194.143592	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.639	s586
196.75	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.745	s586
199.357592	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.714	s586
201.965	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.504	s586
204.57259200000001	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.583	s586
207.181	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.615	s586
209.789	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.63	s586
212.402592	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.817	s586
215.011864	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.763	s586
217.623728	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.65	s586
220.23345600000002	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.66	s586
222.845728	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.694	s586
225.454	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.578	s586
228.062592	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.652	s586
230.676	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.592	s586
233.284	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.666	s586
235.896456	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.707	s586
238.506592	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.497	s586
241.119	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.516	s586
243.726864	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.598	s586
