onset	duration	correct	correct_response	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	response_time	worker_id
3.518	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.539	s491
6.126728	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.718	s491
8.738	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.718	s491
11.346864	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.601	s491
13.956592	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.599	s491
16.565455999999998	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.495	s491
19.176	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.567	s491
21.783864	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.733	s491
24.391864	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.68	s491
27.004864	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.645	s491
29.614864	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.715	s491
32.223728	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.62	s491
34.832864	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.672	s491
37.441592	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.663	s491
40.053	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.669	s491
42.663864000000004	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.669	s491
45.273	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.652	s491
47.883864	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.765	s491
50.493048	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.647	s491
53.105728000000006	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.598	s491
55.716864	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.66	s491
58.328	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.649	s491
60.939864	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.598	s491
63.551	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.592	s491
66.165864	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.639	s491
68.773728	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.636	s491
71.383728	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.576	s491
73.993864	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.617	s491
76.605	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.811	s491
79.213864	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.655	s491
81.825	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.601	s491
84.433728	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.708	s491
87.043	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.619	s491
89.654	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.806	s491
92.26286400000001	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.559	s491
94.873728	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.592	s491
97.484592	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.636	s491
100.095	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.673	s491
102.704864	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.586	s491
105.315864	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.573	s491
107.927	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.558	s491
110.534592	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.669	s491
113.14245600000001	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.592	s491
115.751864	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.762	s491
118.361864	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.596	s491
120.974	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.633	s491
123.584	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.558	s491
126.193864	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.568	s491
128.804	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.54	s491
131.411864	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.554	s491
134.021	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.494	s491
136.629592	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.534	s491
139.242	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.521	s491
141.85118400000002	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.639	s491
144.45932000000002	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.481	s491
147.072	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.662	s491
149.683864	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.517	s491
152.292864	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.598	s491
154.901864	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.715	s491
157.511	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.532	s491
160.120864	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.56	s491
162.73204800000002	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.571	s491
165.34186400000002	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.552	s491
167.95359200000001	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.62	s491
181.073048	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.472	s491
183.681864	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.651	s491
186.292728	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.596	s491
188.901728	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.753	s491
191.51	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.602	s491
194.121	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.594	s491
196.730728	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.559	s491
199.34	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.551	s491
201.95	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.397	s491
204.558728	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.637	s491
207.171	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.554	s491
209.780864	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.547	s491
212.390728	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.486	s491
215.001	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.454	s491
217.612	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.694	s491
220.22	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.625	s491
222.832	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.534	s491
225.444	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.542	s491
228.058	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.554	s491
230.670728	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.706	s491
233.280864	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.603	s491
235.89191200000002	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.654	s491
238.503728	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.469	s491
241.125864	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.533	s491
243.734864	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.6	s491
246.345	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.587	s491
248.956	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.53	s491
251.566	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.499	s491
254.177	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.52	s491
256.785864	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.503	s491
259.393728	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.704	s491
262.003864	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.459	s491
264.613864	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.772	s491
267.224	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.55	s491
269.832	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.448	s491
272.441592	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.565	s491
275.056456	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.463	s491
277.667592	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.513	s491
280.277	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.497	s491
282.884592	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.615	s491
285.496	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.403	s491
288.103592	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.447	s491
290.712	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.469	s491
293.323	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.492	s491
295.932592	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.491	s491
298.539864	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.447	s491
301.148728	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.467	s491
303.757456	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.454	s491
306.364728	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.511	s491
308.978	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.473	s491
311.585592	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.443	s491
314.197	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.678	s491
316.808	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.545	s491
319.415456	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.492	s491
322.025592	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.47	s491
324.637	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.441	s491
327.247864	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.435	s491
329.857184	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.452	s491
