onset	duration	correct	correct_response	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	response_time	worker_id
3.519	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.721	s557
6.127	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.556	s557
8.734864	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.495	s557
11.342728	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.722	s557
13.950592	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.65	s557
16.562	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.617	s557
19.171864000000003	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.573	s557
21.784864000000002	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.468	s557
24.394	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.589	s557
27.006592	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.61	s557
29.614455999999997	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.56	s557
32.222864	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.524	s557
34.830864	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.455	s557
37.442	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.748	s557
40.053	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.97	s557
42.660864000000004	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	1.011	s557
45.269	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.862	s557
47.881864	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.548	s557
50.496	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.488	s557
53.103592	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.482	s557
55.712	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.707	s557
58.319184	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.511	s557
60.92732	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.557	s557
63.536	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.486	s557
66.148864	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.579	s557
68.75686400000001	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.552	s557
71.366864	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.487	s557
