onset	duration	correct	correct_response	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	response_time	worker_id
3.517864	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.68	s616
6.125	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.565	s616
8.734	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.642	s616
11.341592	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.503	s616
13.948456	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.564	s616
16.557592	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.482	s616
19.165	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.456	s616
21.773592	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.523	s616
24.385	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.459	s616
26.996592	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.424	s616
29.608	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.485	s616
32.216	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.393	s616
34.823592	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.444	s616
37.431864000000004	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.406	s616
40.040728	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.623	s616
42.647456	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.709	s616
45.255728000000005	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.412	s616
47.864	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.352	s616
50.477591999999994	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.411	s616
53.086	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.371	s616
55.695	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.604	s616
58.306456	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.591	s616
60.914592	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.522	s616
63.523	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.392	s616
66.13786400000001	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.314	s616
68.749184	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.368	s616
71.357864	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.532	s616
73.966	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.36	s616
76.572864	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.376	s616
79.180864	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.455	s616
81.794864	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.383	s616
84.402456	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.368	s616
87.011	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.435	s616
89.618728	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.613	s616
92.227	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.425	s616
94.834864	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.413	s616
97.442592	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.47	s616
100.05345600000001	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.583	s616
102.664	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.503	s616
105.27486400000001	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.477	s616
107.88486400000001	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.537	s616
110.493864	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.498	s616
113.100864	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.549	s616
115.709728	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.423	s616
118.316864	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.438	s616
120.930592	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.451	s616
123.539	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.516	s616
126.150864	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.467	s616
128.76	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.406	s616
131.372864	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.557	s616
133.980048	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.454	s616
136.589728	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.558	s616
139.197864	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.429	s616
141.806	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.371	s616
144.418864	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.384	s616
147.027	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.427	s616
149.636864	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.559	s616
152.247728	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.411	s616
154.855728	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.356	s616
157.468864	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.593	s616
160.077	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.631	s616
162.685864	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.668	s616
165.293	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.472	s616
167.905728	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.402	s616
181.025	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.482	s616
183.638	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.446	s616
186.247864	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.428	s616
188.855728	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.43	s616
191.463592	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.497	s616
194.077	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.455	s616
196.685864	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.541	s616
199.293864	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.559	s616
201.901	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.454	s616
204.508592	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.432	s616
207.117456	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.656	s616
209.725864	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.452	s616
212.333864	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.39	s616
214.941	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.316	s616
217.551	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.551	s616
220.168864	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.47	s616
222.776	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.506	s616
225.383864	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.438	s616
227.992	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.567	s616
230.599592	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.534	s616
233.213	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.536	s616
235.820184	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.423	s616
238.42832	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.367	s616
241.038	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.436	s616
243.645864	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.603	s616
246.253864	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.484	s616
248.862864	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.522	s616
251.469	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.466	s616
254.076864	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.5	s616
256.685048	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.392	s616
259.293864	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.546	s616
261.901592	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.522	s616
264.50804800000003	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.578	s616
267.117864	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.675	s616
269.726728	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.515	s616
272.338728	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.559	s616
274.952	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.563	s616
277.56	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.552	s616
280.167728	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.489	s616
282.776	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.449	s616
285.389	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.641	s616
287.999728	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.407	s616
290.611	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.457	s616
293.218864	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.622	s616
295.826728	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.482	s616
298.44	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.593	s616
301.051	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.494	s616
303.661	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.513	s616
306.27	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.428	s616
308.883	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.558	s616
311.491	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.618	s616
314.098728	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.498	s616
316.708864	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.453	s616
319.31791200000004	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.625	s616
321.93372800000003	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.639	s616
324.546864	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.545	s616
327.154864	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.564	s616
329.768	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.513	s616
332.376	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.492	s616
334.984	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.458	s616
337.592	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.566	s616
340.199864	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.473	s616
342.807728	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.635	s616
345.415864	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.536	s616
