onset	duration	correct	correct_response	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	response_time	worker_id
3.5150479999999997	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.606	s601
6.124864	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.56	s601
8.732728	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.704	s601
11.342728	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.599	s601
13.949	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.532	s601
16.557	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.72	s601
19.164728	1.7	0.0	71.0	spatial	attention_network_task	down	right	congruent	89	0.701	s601
21.773	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.949	s601
24.381	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.837	s601
26.993728	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.66	s601
29.606	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.578	s601
32.219864	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.774	s601
34.828728000000005	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.79	s601
37.437	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	1.057	s601
40.045	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.71	s601
42.654	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.519	s601
45.267	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.884	s601
47.879	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.664	s601
50.493	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.591	s601
53.104728	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.516	s601
55.715864	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.644	s601
58.327912	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.595	s601
60.935728000000005	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.656	s601
63.544864000000004	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.62	s601
66.154864	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	1.528	s601
68.762	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.504	s601
71.369	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.521	s601
73.981	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.512	s601
76.585	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.67	s601
79.198864	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.773	s601
81.806728	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.601	s601
84.414864	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.442	s601
87.023864	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.723	s601
89.636	1.7	0.0	89.0	double	attention_network_task	down	left	incongruent	71	0.394	s601
92.244	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.656	s601
94.855592	1.7	0.0	71.0	double	attention_network_task	up	right	congruent	89	1.146	s601
97.465456	1.7	0.0	89.0	double	attention_network_task	up	left	congruent	71	1.384	s601
100.073592	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.895	s601
102.682	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.73	s601
105.293592	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	1.612	s601
107.903	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.572	s601
110.516592	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.684	s601
113.129	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	1.335	s601
115.738	1.7	0.0	71.0	spatial	attention_network_task	up	right	incongruent	-1	n/a	s601
118.34559200000001	1.7	0.0	89.0	spatial	attention_network_task	up	left	incongruent	-1	n/a	s601
120.956864	1.7	0.0	71.0	spatial	attention_network_task	up	right	incongruent	-1	n/a	s601
123.567728	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.607	s601
