onset	duration	correct	correct_response	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	response_time	worker_id
3.521	1.7	0.0	89.0	spatial	attention_network_task	down	left	congruent	71	0.832	s495
6.130728	1.7	0.0	89.0	double	attention_network_task	down	left	incongruent	71	0.622	s495
8.74	1.7	0.0	71.0	spatial	attention_network_task	up	right	congruent	89	0.73	s495
11.346864	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.926	s495
13.953592	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.716	s495
16.561456	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.489	s495
19.171	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.626	s495
21.781864000000002	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.607	s495
24.390864	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.579	s495
27.004864	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.592	s495
29.615864000000002	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.68	s495
32.223728	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.684	s495
34.832864	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.53	s495
37.444592	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.635	s495
40.052	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.612	s495
42.659864	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.628	s495
45.27	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.591	s495
47.880864	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.654	s495
50.490048	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.542	s495
53.100728000000004	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.621	s495
55.723864	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.586	s495
58.336	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.597	s495
60.944864	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.538	s495
63.557	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.56	s495
66.170864	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.567	s495
68.778728	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.568	s495
71.386728	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.595	s495
73.994864	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.521	s495
76.603	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.482	s495
79.210864	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.587	s495
81.818	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.515	s495
84.427728	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.62	s495
87.034	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.588	s495
89.641	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.524	s495
92.249864	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.537	s495
94.858728	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.557	s495
97.46759200000001	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.579	s495
100.078	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.478	s495
102.684864	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.512	s495
105.291864	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.55	s495
107.902	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.75	s495
110.513592	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.592	s495
113.123456	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.529	s495
115.730864	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.582	s495
118.338864	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.605	s495
120.95	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.627	s495
123.56	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.527	s495
126.167864	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.583	s495
128.776	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.608	s495
131.383864	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.572	s495
133.992	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.483	s495
136.599592	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.615	s495
139.21	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.649	s495
141.81518400000002	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.568	s495
144.42432	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.504	s495
147.034	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.552	s495
149.642864	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.587	s495
152.254864	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.543	s495
154.863864	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.563	s495
157.472	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.504	s495
160.083864	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.548	s495
162.692048	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.545	s495
165.302864	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.506	s495
