onset	duration	correct	correct_response	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	response_time	worker_id
3.5120479999999996	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.601	s568
6.119864	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.565	s568
8.725727999999998	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.997	s568
11.330727999999999	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.871	s568
13.937	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.545	s568
16.542	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.779	s568
19.148728	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.575	s568
21.757	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.467	s568
24.364	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.732	s568
26.968728	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.481	s568
29.575	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.525	s568
32.181864000000004	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.6	s568
34.792728000000004	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.515	s568
37.399	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.471	s568
40.004	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.705	s568
42.61	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.504	s568
45.217	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.456	s568
47.823	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.685	s568
50.429	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.575	s568
53.033728	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.592	s568
55.639864	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.824	s568
