onset	duration	correct	correct_response	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	response_time	worker_id
3.517048	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.553	s584
6.124864	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.649	s584
8.739728	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.512	s584
11.351728	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.597	s584
13.961	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.587	s584
16.574	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.616	s584
19.182728	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.543	s584
21.791	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.495	s584
24.404	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.443	s584
27.016728	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.441	s584
29.63	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.536	s584
32.238864	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.848	s584
34.845728	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.554	s584
37.455	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.49	s584
40.063	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.582	s584
42.675	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.465	s584
45.289	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.65	s584
47.898	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.678	s584
50.509	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.528	s584
53.119728	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.471	s584
55.731864	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.567	s584
58.33891199999999	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.507	s584
60.948728	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	1.017	s584
63.561864	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.611	s584
66.176864	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.493	s584
68.788	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.552	s584
71.402	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.415	s584
74.015	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.463	s584
76.623	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.577	s584
79.230864	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.513	s584
81.840728	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.634	s584
84.452864	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.638	s584
87.060864	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.742	s584
89.675	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.812	s584
92.28	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.571	s584
94.89259200000001	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.379	s584
97.504456	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.546	s584
100.112592	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.504	s584
102.726	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.487	s584
105.33359200000001	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.575	s584
107.948	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.529	s584
110.55959200000001	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.464	s584
113.169	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.715	s584
115.777	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.737	s584
118.384592	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.596	s584
120.992864	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.83	s584
123.603728	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.747	s584
126.20845600000001	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.585	s584
128.822728	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.842	s584
131.431	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.613	s584
134.041592	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.472	s584
136.652	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.523	s584
139.266	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.379	s584
141.873456	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.6	s584
144.480592	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.505	s584
147.089	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.472	s584
149.69886400000001	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.546	s584
152.312184	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.793	s584
154.923864	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.564	s584
