onset	duration	correct	correct_response	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	response_time	worker_id
3.519	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.518	s192
6.128728	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.49	s192
8.739	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.48	s192
11.350864	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.412	s192
13.958592000000001	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.448	s192
16.569456	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.432	s192
19.18	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.572	s192
21.784864000000002	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.439	s192
24.399864	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.513	s192
27.009864	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.487	s192
29.617864	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.453	s192
32.226728	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.532	s192
34.833864	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.538	s192
37.441592	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.449	s192
40.055	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.556	s192
42.662864	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.544	s192
45.272	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.466	s192
47.879864000000005	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.568	s192
50.492048000000004	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.458	s192
53.100728000000004	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.686	s192
55.714864	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.426	s192
58.323	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.487	s192
60.930864	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.469	s192
63.539	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.608	s192
66.14686400000001	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.482	s192
68.754728	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.528	s192
71.36372800000001	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.496	s192
73.973864	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.456	s192
76.587	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.548	s192
79.197864	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.485	s192
81.806	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.487	s192
